id_of_cashier,date_of_purchase,time_of_purchase,id_of_typeOfPurchase,card_number
15,11.18.2021,2:9,3,4861003807979589
10,10.9.2021,0:42,4,4513337697589079
14,11.15.2021,4:35,2,4170980648826655
11,9.11.2021,3:54,2,4535970747649917
7,10.13.2021,8:18,2,4593437952979292
11,10.17.2021,12:8,2,4280187375602800
5,11.19.2021,18:32,3,4280045378060174
9,12.13.2021,3:27,4,4313116611776574
2,12.8.2021,6:20,1,4982135855328949
8,10.23.2021,8:14,4,4358858158914497
13,9.23.2021,2:21,3,4392016438844515
7,1.25.2021,16:54,1,4411730151421212
10,6.8.2021,2:18,5,4671373286149296
3,1.8.2021,9:18,5,4683872706873898
11,2.25.2021,15:57,5,4411299733463716
14,4.14.2021,17:3,5,4983854944086110
14,2.4.2021,0:5,2,4158592378113998
2,8.15.2021,12:34,5,4403318652104850
7,7.26.2021,3:46,4,4526114871164668
1,6.8.2021,11:44,2,4721395903157284
1,1.5.2021,9:0,5,4293657279632961
14,2.5.2021,17:56,4,4708125170612514
1,2.20.2021,2:57,1,4427054371671041
2,3.3.2021,18:12,4,4302366863127994
2,3.28.2021,22:6,2,4303941920562218
6,10.7.2021,17:12,1,4742279929126237
12,2.26.2021,14:50,3,4835080222753988
8,4.25.2021,6:47,1,4062095887209541
1,10.21.2021,15:35,2,4668741361379769
3,7.25.2021,22:10,4,4928791107746314
9,5.27.2021,10:54,4,4162412367926170
11,9.15.2021,22:26,5,4725374385086177
15,5.26.2021,0:34,3,4287704416341677
5,9.19.2021,16:54,2,4485283990335571
12,3.12.2021,0:1,3,4560074962480926
9,11.3.2021,16:32,4,4509452948162572
8,7.12.2021,20:24,3,4305788015538434
12,5.25.2021,1:56,4,4459111502883173
4,4.2.2021,3:34,2,4343579215314370
11,11.20.2021,15:30,2,4547810234645361
12,9.18.2021,6:35,2,4467648359918958
3,5.6.2021,16:10,3,4930959496205814
13,9.10.2021,1:11,2,4228126954982516
3,6.27.2021,12:47,2,4843242391559584
1,4.5.2021,19:40,5,4007134775592035
3,9.23.2021,5:25,4,4602008821576342
13,6.16.2021,20:0,4,4228668021861933
15,5.16.2021,4:7,2,4195688554814474
15,9.14.2021,15:1,3,4825424131198815
6,3.4.2021,0:16,2,4387671615554932
12,7.11.2021,20:54,3,4659886957318636
4,4.2.2021,5:15,5,4673081409449089
12,9.8.2021,3:58,4,4925581396005027
11,7.21.2021,1:35,1,4003696459165264
5,12.17.2021,12:26,2,4053113789776505
13,4.28.2021,1:33,3,4797964570513027
10,11.19.2021,4:30,1,4164433487986171
15,11.27.2021,1:51,4,4430954332826657
7,11.5.2021,19:22,1,4336656672832437
6,9.14.2021,5:54,2,4609255445530587
2,6.3.2021,20:52,3,4346909246403431
8,12.3.2021,2:5,1,4741486523048657
5,6.13.2021,15:27,4,4522808496898192
4,4.25.2021,2:4,3,4013250646738268
8,9.10.2021,12:33,5,4384484921892364
7,5.10.2021,14:14,5,4875646952124185
2,7.15.2021,1:32,2,4164910484614054
9,7.13.2021,2:28,3,4905205664822815
9,9.3.2021,21:14,3,4281300046645119
3,11.3.2021,14:20,1,4129647301572944
13,6.3.2021,19:8,5,4208867766936977
7,11.14.2021,14:28,4,4715688617573879
14,6.28.2021,17:51,5,4820210427043772
12,5.20.2021,4:32,3,4685447092779419
7,11.21.2021,9:33,4,4036278719913058
6,7.23.2021,18:39,2,4257542562305618
1,11.10.2021,15:52,5,4815063328170355
5,2.16.2021,18:28,5,4682263694154457
3,9.25.2021,23:18,4,4245480392711432
5,6.21.2021,6:14,2,4324045488899593
3,11.23.2021,13:43,3,4068989249217929
6,6.19.2021,0:5,5,4862228226639701
7,1.23.2021,10:46,4,4673752335331264
11,10.22.2021,4:52,1,4796668325786824
5,9.20.2021,20:46,3,4672629730703324
10,2.25.2021,16:20,5,4523437185264614
5,6.2.2021,19:47,4,4822415450035440
13,3.6.2021,12:55,2,4690084207475087
9,9.9.2021,5:54,1,4264824899105409
11,5.11.2021,12:29,5,4934074366753925
3,3.15.2021,8:24,1,4365708089288138
13,1.5.2021,13:41,5,4427000412070088
4,8.12.2021,16:3,2,4652272193499836
2,10.15.2021,10:36,5,4524718085974892
1,2.12.2021,7:9,2,4551196056818083
10,6.24.2021,21:21,5,4111123147460035
9,9.7.2021,22:17,4,4470933555403976
4,11.10.2021,20:16,2,4022324991671331
3,5.19.2021,22:44,5,4855801893714976
5,8.16.2021,21:31,4,4050713860087158
5,3.13.2021,13:48,2,4536327362403246
7,8.4.2021,1:2,2,4392223881285559
8,1.20.2021,10:41,3,4653586125042202
5,5.8.2021,4:56,5,4607853730558945
3,4.1.2021,18:9,5,4901640678104778
11,9.12.2021,23:46,5,4154124824692682
15,8.2.2021,17:32,5,4413274157522582
8,5.24.2021,7:16,5,4777655977087795
15,8.8.2021,15:3,1,4692726572759346
8,7.18.2021,3:28,4,4451830223626445
1,4.9.2021,9:4,3,4070858736509889
1,7.23.2021,21:15,4,4485659761996269
6,1.4.2021,17:44,2,4678962039859290
8,11.18.2021,17:11,2,4295868326018881
2,7.13.2021,12:18,4,4559990316158133
9,8.25.2021,14:46,4,4359995091870935
12,1.26.2021,7:1,1,4010546562237553
4,9.19.2021,12:55,5,4056128356432345
7,2.3.2021,5:35,3,4069251838411147
6,7.9.2021,14:17,2,4165593771914185
2,4.1.2021,9:37,4,4813522923703534
1,8.9.2021,22:28,2,4104231010096688
13,4.19.2021,18:22,5,4548991505345496
1,5.22.2021,1:42,5,4960278669786599
6,10.16.2021,3:49,5,4860624362832382
6,4.17.2021,23:56,2,4211539626861588
4,7.9.2021,9:34,2,4272206261287487
9,1.18.2021,7:44,5,4297150067635571
6,9.22.2021,13:16,3,4147028055867182
9,3.3.2021,6:9,4,4025729305053126
9,8.17.2021,3:10,5,4337983703651815
4,7.3.2021,5:36,2,4881775103123217
14,12.16.2021,3:32,4,4797129136440691
4,2.11.2021,22:54,4,4352429490604426
4,6.12.2021,0:37,2,4165161674134808
11,6.12.2021,18:58,2,4709061237455433
10,3.8.2021,3:44,4,4625459554979186
5,11.9.2021,10:55,4,4306884509088977
9,7.9.2021,0:51,4,4310155252457152
7,6.18.2021,2:19,3,4661602360029730
3,5.13.2021,23:50,2,4931767091613278
5,6.5.2021,13:45,4,4672257174177602
10,3.14.2021,9:16,2,4766712086564291
9,8.24.2021,11:42,1,4929223131781995
11,10.13.2021,16:54,3,4351576879158353
11,12.1.2021,6:5,5,4325945270913169
11,3.1.2021,6:32,1,4724578910450521
13,11.5.2021,11:6,2,4839022391322066
13,5.5.2021,9:42,1,4197615561483363
5,9.18.2021,11:44,3,4308112460102225
3,1.17.2021,10:42,5,4155522945496976
9,10.20.2021,16:35,2,4072973127742304
5,10.18.2021,16:29,2,4833333272664881
9,6.28.2021,4:31,5,4907272506152351
3,8.26.2021,22:44,3,4182797863276715
6,2.13.2021,11:27,2,4170208983959997
10,5.13.2021,5:53,1,4042090936768647
6,9.27.2021,20:41,3,4893589453145517
2,7.26.2021,16:53,4,4407338316010272
9,3.23.2021,23:19,5,4286527919453354
9,7.5.2021,9:5,1,4011569488133695
9,6.18.2021,21:47,4,4697498356271844
11,12.10.2021,22:29,4,4517326213101807
2,1.2.2021,23:32,5,4406520696718749
14,9.9.2021,8:20,5,4377470901324063
2,1.7.2021,23:26,3,4548505777988290
8,12.28.2021,10:25,5,4123106681144555
7,4.24.2021,23:19,1,4384023119721142
12,6.21.2021,16:26,4,4293111778417693
11,5.24.2021,8:24,4,4087597167047666
7,9.2.2021,7:50,5,4774607030683510
15,1.15.2021,9:45,4,4629346443646035
7,5.13.2021,16:31,1,4648682714464910
12,3.21.2021,12:34,5,4655870058216170
5,9.9.2021,8:43,4,4427552658892553
2,7.11.2021,14:20,1,4424047508575684
6,11.1.2021,20:40,3,4221381672169323
6,2.9.2021,23:3,5,4213051498855476
6,10.21.2021,11:52,2,4588870244428531
2,7.23.2021,0:29,5,4113388801882802
14,7.27.2021,14:20,3,4295803554782577
1,10.20.2021,7:49,2,4129721005165927
9,7.24.2021,0:14,5,4919272847235828
6,3.13.2021,1:51,5,4116990954885647
5,8.21.2021,15:33,3,4326194623015489
14,11.22.2021,17:7,5,4316561438478826
11,10.28.2021,5:52,1,4572349517795794
4,8.17.2021,21:25,4,4450506354382250
10,6.1.2021,11:40,1,4161456509450019
5,4.8.2021,11:28,1,4229560478207729
3,11.26.2021,13:40,1,4927816515515623
4,5.22.2021,22:45,2,4279782613791353
3,9.4.2021,9:34,3,4329434265013531
2,8.26.2021,2:40,3,4316805347062474
13,9.18.2021,6:19,1,4371590284452424
13,11.21.2021,22:14,1,4556291771903637
12,12.20.2021,5:47,3,4632502159693548
4,8.1.2021,10:50,1,4754777053868103
2,1.19.2021,18:1,1,4845191109528281
5,11.22.2021,3:6,4,4304047090612509
10,12.25.2021,8:21,5,4584496930764175
4,2.18.2021,20:20,1,4736798072190838
3,12.25.2021,10:50,5,4722535350350505
4,10.8.2021,11:44,1,4943569385137430
13,7.17.2021,20:5,5,4656987589362584
12,12.13.2021,10:52,2,4337404814626436
8,8.9.2021,8:37,3,4517775190523690
7,7.26.2021,21:45,5,4162342605248732
3,10.14.2021,2:56,4,4323133486208687
3,6.6.2021,4:13,3,4403234194141194
1,2.16.2021,10:26,4,4023026732052395
6,1.12.2021,16:7,1,4836702542124675
13,6.4.2021,7:20,1,4221718085614126
12,8.3.2021,0:41,4,4198407863404858
13,12.1.2021,15:6,4,4385641919189345
3,1.18.2021,22:9,2,4148986368516244
10,6.26.2021,1:45,3,4102881306510971
10,4.14.2021,4:11,3,4377860556433679
7,3.9.2021,1:39,5,4152438047713508
15,5.11.2021,8:31,3,4242469609626245
14,12.8.2021,4:48,1,4814570754505459
2,5.18.2021,21:43,5,4172672989286767
4,2.26.2021,19:28,1,4687589647536653
8,5.19.2021,23:39,2,4660131186089787
11,2.7.2021,0:56,5,4317335582677084
2,4.15.2021,15:22,2,4163581102843022
3,4.19.2021,21:50,4,4131157300967439
7,11.8.2021,19:40,5,4164616987333461
14,1.25.2021,13:1,1,4757224563245230
9,5.19.2021,12:0,4,4251717899004598
3,12.27.2021,1:4,5,4271976999061992
10,9.12.2021,19:34,1,4363003040308662
4,11.9.2021,5:37,2,4516545222681016
2,3.8.2021,2:47,1,4349362213505565
4,2.17.2021,4:54,4,4172099159960399
3,8.28.2021,3:10,1,4552473364293135
11,6.23.2021,20:25,3,4926683207793021
1,7.28.2021,12:49,3,4114741890194675
1,11.25.2021,11:36,1,4008551480345521
3,9.28.2021,1:11,3,4776601179514709
14,8.18.2021,10:53,3,4430663099741570
15,7.26.2021,19:11,5,4659991773926934
12,10.23.2021,3:50,5,4394691334581712
12,3.22.2021,21:16,3,4334604324179090
2,7.23.2021,4:30,4,4738220327897179
8,10.4.2021,9:8,5,4128095785262244
12,9.14.2021,12:38,5,4302857318539397
6,5.12.2021,23:7,4,4172119124699463
13,9.8.2021,14:42,4,4638531719484102
3,1.23.2021,4:37,5,4350970606554460
13,5.13.2021,2:32,3,4196869204139368
15,11.13.2021,19:55,1,4104951215240790
3,11.26.2021,4:50,5,4590857919218568
15,8.13.2021,21:33,5,4662000452773160
8,10.23.2021,21:38,1,4142676374712719
4,7.10.2021,13:44,1,4240992396895869
14,11.3.2021,23:8,5,4049624562301235
3,7.28.2021,8:11,2,4333203893516661
7,8.3.2021,17:57,1,4285277519106046
1,3.10.2021,23:28,5,4651065978922254
10,11.28.2021,8:32,1,4113904053451665
7,9.6.2021,1:9,2,4375895397503378
9,9.23.2021,7:1,2,4018464005464951
1,6.17.2021,22:32,3,4116359428920951
15,3.20.2021,9:4,2,4966938833283788
6,11.2.2021,3:12,2,4528606235044227
13,1.13.2021,15:38,2,4436104972521516
2,2.11.2021,4:24,2,4951039853504166
12,9.13.2021,1:52,5,4792040538973208
10,7.11.2021,22:24,2,4922849437946081
1,7.8.2021,23:48,4,4892047376812829
6,11.11.2021,5:48,1,4521525371872667
1,12.18.2021,10:19,3,4294422291099140
4,8.1.2021,22:29,2,4537085836122689
15,10.24.2021,23:39,2,4324101673357243
13,4.21.2021,10:51,5,4557661769006665
15,12.15.2021,3:26,2,4122329926958246
11,9.21.2021,18:43,4,4523853239838821
7,12.7.2021,5:39,4,4390261676143768
1,1.24.2021,20:24,2,4216767491920613
13,1.27.2021,1:41,3,4863889617644576
6,7.24.2021,5:36,2,4986970288166067
5,10.15.2021,8:1,4,4667455346538451
8,4.13.2021,18:6,1,4647805873221808
2,11.4.2021,21:56,1,4453206377092682
2,9.21.2021,18:45,3,4407766042674118
7,6.10.2021,3:26,2,4168778825263962
12,3.7.2021,4:42,5,4763513282544420
9,3.4.2021,20:2,3,4094042280433683
15,7.4.2021,14:28,2,4069894940546220
7,4.10.2021,22:59,2,4866479534521507
12,2.18.2021,4:17,2,4017749833714723
13,5.12.2021,22:44,5,4152209345391931
8,5.22.2021,21:4,3,4197317903209116
14,6.14.2021,20:55,1,4918872737021298
13,8.22.2021,14:13,1,4876500943127447
12,9.24.2021,23:14,2,4620201102377622
5,9.20.2021,12:53,1,4661658700897887
10,6.16.2021,2:23,5,4832783958401313
3,3.24.2021,22:28,2,4794777112483923
12,8.5.2021,3:7,1,4955595506669762
11,2.21.2021,19:32,5,4497613826442862
6,5.15.2021,4:57,2,4165659123152023
8,8.5.2021,6:30,5,4472603815792865
13,6.2.2021,22:46,4,4648039841502781
13,10.10.2021,0:6,2,4551321703073619
2,10.7.2021,10:7,5,4418162706676480
2,5.24.2021,17:38,1,4124861571475281
3,2.4.2021,15:47,2,4875786126991588
14,10.19.2021,7:48,2,4315238574106329
7,4.25.2021,6:54,1,4092340972727855
4,10.6.2021,21:52,3,4807750338000680
14,9.22.2021,17:44,4,4128667471959169
11,4.27.2021,4:51,2,4732780341318412
2,1.23.2021,0:14,2,4218844495792773
9,7.10.2021,15:2,5,4371910102740618
15,2.16.2021,5:31,5,4706409925772424
11,6.26.2021,7:32,2,4588291342016606
11,12.11.2021,4:12,2,4570818330189677
12,11.2.2021,5:6,3,4310374755157060
11,5.4.2021,2:14,3,4794485737846919
12,4.22.2021,3:47,5,4163369033684783
15,1.20.2021,3:24,2,4720228696266864
3,11.25.2021,10:10,4,4634290538291695
2,4.14.2021,0:45,3,4661823221257504
13,11.3.2021,23:49,2,4582760048371353
10,4.21.2021,0:50,4,4748715325086010
14,1.25.2021,12:17,5,4269779110201477
3,1.2.2021,8:15,5,4665024598747333
12,6.13.2021,14:44,5,4045822048369095
9,6.22.2021,10:39,1,4698898762279659
1,6.27.2021,17:22,2,4250001194952655
3,3.10.2021,4:38,3,4748289550541600
14,4.22.2021,1:16,3,4181287266077491
14,1.11.2021,1:25,1,4084524704342846
9,6.4.2021,14:42,4,4666387381244017
10,6.28.2021,4:55,4,4515943669335712
6,2.22.2021,22:15,2,4348074173476077
9,4.6.2021,1:4,3,4755953322317102
14,3.18.2021,21:31,2,4402990833618154
5,9.14.2021,7:34,5,4615727893214549
7,6.1.2021,17:11,3,4823656906470127
2,1.25.2021,5:0,1,4352991909755977
14,3.24.2021,20:53,4,4876175175193315
2,1.28.2021,3:30,2,4204614532239668
12,3.9.2021,7:48,1,4049022429257412
9,7.3.2021,10:31,5,4816636818616690
9,2.28.2021,21:50,4,4996816444526408
14,1.22.2021,22:29,1,4207796196048793
14,4.2.2021,14:24,2,4576953807531444
6,4.4.2021,23:49,1,4906138592335637
10,9.1.2021,5:5,5,4702446950616241
6,11.13.2021,15:6,5,4133267211020879
15,8.21.2021,18:23,4,4744349621934427
6,10.7.2021,3:11,1,4648811998340641
12,9.13.2021,0:25,5,4828352741480077
7,11.15.2021,22:30,3,4737065939283633
12,7.25.2021,10:48,5,4967023419497935
15,7.4.2021,16:16,5,4896118498023611
2,5.16.2021,6:8,3,4984915472405808
6,5.27.2021,22:1,5,4924156956836874
7,10.6.2021,23:3,1,4387127412994088
14,3.19.2021,17:5,3,4962688455070299
9,12.24.2021,22:2,5,4055487539879660
11,2.17.2021,20:17,3,4673265643421712
14,8.28.2021,20:21,4,4514091765080605
15,10.8.2021,0:17,2,4195458376801481
4,12.22.2021,3:3,4,4009966012718464
13,7.13.2021,19:56,5,4673716112214681
6,6.22.2021,10:15,3,4015654008276839
3,2.28.2021,8:7,1,4589156905527970
9,6.25.2021,3:4,5,4667077953245248
1,8.7.2021,2:50,2,4626154281719673
10,9.14.2021,20:47,2,4997193544983564
10,1.4.2021,0:19,4,4057966795231397
12,11.14.2021,3:38,1,4620648799726066
5,1.4.2021,21:44,1,4499058717433004
7,9.27.2021,13:50,4,4003599653187181
11,2.9.2021,2:57,4,4331983402565827
10,5.11.2021,11:52,4,4078556248896094
15,11.26.2021,17:10,3,4897406195524518
15,5.12.2021,21:28,1,4792843919959772
12,2.28.2021,22:52,2,4677276648014171
5,6.26.2021,12:38,2,4872920859350011
5,2.7.2021,13:5,1,4166837288385104
1,12.8.2021,15:30,1,4508250941910223
7,2.15.2021,22:22,2,4154902035977682
9,10.21.2021,5:27,3,4062917482266533
4,11.24.2021,18:5,4,4325532059361977
7,3.3.2021,7:34,4,4516912646222106
6,4.19.2021,13:21,3,4220291736683463
6,11.24.2021,17:34,2,4239882301666551
10,11.3.2021,15:55,5,4199999690158767
7,3.17.2021,10:53,3,4478902744983081
3,5.17.2021,12:54,5,4156186542858294
13,10.14.2021,1:10,2,4363908557056164
8,5.6.2021,14:12,5,4029440510326132
6,11.9.2021,12:29,4,4173009493121767
7,12.5.2021,21:7,4,4066763932746744
12,10.5.2021,5:20,4,4206921137238855
1,6.15.2021,5:54,2,4364847830100763
12,8.16.2021,16:29,3,4917563111148507
5,4.22.2021,19:9,1,4246902143400990
14,1.1.2021,17:5,1,4544330476805942
9,6.2.2021,0:31,1,4423203228463786
2,12.17.2021,10:1,3,4832883377869374
6,11.21.2021,7:28,4,4198003748295946
6,5.6.2021,22:48,5,4673256777572999
6,3.4.2021,12:17,2,4529930691545681
3,2.15.2021,7:4,1,4019732654930139
6,4.27.2021,21:34,1,4153314338529268
6,1.11.2021,18:34,2,4095098266200782
14,6.5.2021,0:18,1,4488258833454108
2,8.2.2021,16:34,1,4429413272502040
5,10.11.2021,8:44,3,4214050861438022
7,12.2.2021,20:37,5,4882385400683160
2,2.3.2021,7:41,4,4151448535323631
5,12.12.2021,0:17,2,4791383707155254
15,5.26.2021,22:3,5,4782223242335272
4,7.10.2021,15:10,2,4562424488933266
9,10.19.2021,17:59,2,4183959251525904
6,1.25.2021,5:54,5,4765408295868459
2,4.16.2021,20:51,1,4170148862103621
4,9.2.2021,23:23,5,4980202252071072
15,4.4.2021,13:37,5,4527890579908332
3,5.2.2021,17:1,5,4607768933973434
8,10.14.2021,11:53,3,4127138463049787
2,1.2.2021,16:32,2,4139646064489549
9,6.16.2021,4:49,2,4835649831958084
15,7.2.2021,1:4,5,4147455674953122
3,1.4.2021,12:38,2,4144818250652691
9,10.8.2021,22:32,5,4931337576339754
4,12.7.2021,16:9,4,4035651654177107
15,8.10.2021,22:29,4,4848429992505644
5,4.9.2021,18:17,1,4630622501777647
13,12.17.2021,5:43,2,4881171300403779
8,2.20.2021,14:50,1,4326399099394051
7,1.22.2021,2:23,1,4663831683748188
3,9.24.2021,23:22,2,4910047268821202
14,12.3.2021,7:15,1,4025002798204588
2,12.28.2021,5:29,4,4417563638237671
13,4.5.2021,5:31,4,4629491887852940
9,9.26.2021,20:0,4,4494122825591226
14,2.16.2021,20:18,2,4469262954218602
8,5.3.2021,12:50,2,4155798060271508
12,8.24.2021,10:57,2,4921586223967475
2,7.20.2021,1:12,3,4136931410048987
9,1.25.2021,19:0,2,4714729324796842
15,3.17.2021,11:14,1,4782188591688170
6,4.15.2021,14:52,4,4375257520627498
14,3.26.2021,12:28,1,4232921071101828
12,7.18.2021,8:11,4,4642050673972495
3,8.16.2021,13:47,4,4000939954328616
2,3.20.2021,15:46,4,4699065779780472
15,8.10.2021,23:10,2,4319676172735511
3,5.12.2021,12:47,2,4849685286738747
12,9.5.2021,16:54,2,4148211614726455
9,12.19.2021,8:6,4,4833484944134580
8,5.13.2021,6:10,3,4798447535565601
8,1.5.2021,9:12,3,4773830332699359
15,12.4.2021,0:43,5,4289066596899690
11,5.27.2021,7:33,3,4879993199183663
12,7.5.2021,14:21,3,4116002007010909
6,8.4.2021,23:9,5,4319896534854968
9,8.27.2021,7:46,3,4528445494888065
13,10.12.2021,14:7,1,4431884231867712
2,9.26.2021,16:26,3,4315271009766844
8,7.2.2021,5:44,1,4567125249857950
11,10.9.2021,23:54,5,4925413219886397
4,4.3.2021,2:32,4,4450263916704403
1,2.12.2021,1:51,4,4940108238189147
15,6.24.2021,0:52,3,4638251332601547
10,11.26.2021,10:45,2,4614165125562751
6,3.4.2021,16:40,3,4878454276779209
9,9.1.2021,8:37,1,4621524340139244
14,11.8.2021,11:16,2,4628745775442754
3,7.9.2021,12:45,4,4426630892449016
15,1.6.2021,17:41,3,4980169781737496
1,6.12.2021,7:47,4,4046534079346676
14,6.11.2021,7:44,5,4739671888209781
13,4.23.2021,13:16,5,4020389842026135
9,10.19.2021,14:16,4,4617519723862180
13,1.26.2021,12:5,3,4189401449396733
8,1.19.2021,3:44,3,4058412191863006
6,1.4.2021,9:21,5,4414730384414851
9,4.2.2021,10:9,5,4259298806393864
8,8.25.2021,2:32,5,4382278228517678
2,6.7.2021,0:27,3,4839433743722730
7,12.19.2021,20:51,3,4637039259870966
10,5.15.2021,3:8,2,4085167002953893
4,3.9.2021,15:12,2,4776890918793940
5,10.15.2021,7:15,5,4227353262912461
8,7.13.2021,1:15,2,4921590958376402
13,7.18.2021,15:42,4,4485750698754012
6,6.1.2021,1:25,5,4885915006772560
1,4.4.2021,4:40,3,4773680835066669
12,8.1.2021,17:23,1,4396183130257213
13,9.7.2021,8:1,4,4885249676023884
6,9.10.2021,15:30,4,4881036411141147
3,2.28.2021,18:29,4,4965023617385222
2,12.15.2021,2:14,2,4660684266990368
15,5.6.2021,7:0,3,4422219512986244
4,12.15.2021,15:47,4,4946704133181156
8,12.5.2021,18:7,5,4293502430002767
12,12.4.2021,9:31,1,4093171779925247
15,2.14.2021,14:51,1,4358636293054331
14,9.6.2021,10:20,5,4754511580732885
1,3.10.2021,19:3,1,4802407405808737
9,12.13.2021,12:1,2,4748078532574919
2,9.14.2021,19:44,4,4320485585284204
12,12.8.2021,9:51,1,4999349895751154
4,12.5.2021,8:5,2,4746704050090331
2,12.14.2021,4:40,3,4335183490685062
15,11.16.2021,18:20,2,4741676363020061
7,12.17.2021,6:48,1,4612791807718564
1,9.26.2021,6:24,1,4584721042423536
5,4.16.2021,14:30,3,4388338409149844
3,10.12.2021,22:46,1,4263711280013483
14,2.28.2021,13:21,3,4674626142469970
2,1.22.2021,16:12,2,4581185965108427
1,4.23.2021,10:9,3,4874084448122376
12,7.18.2021,19:18,1,4433639661992202
14,1.7.2021,3:21,1,4247223258177426
12,4.13.2021,0:59,2,4738344791391116
1,3.17.2021,7:12,3,4668109891042229
15,3.12.2021,13:2,5,4021765124742151
13,8.28.2021,17:18,2,4816794022340625
12,1.2.2021,18:28,3,4841317692705432
2,5.12.2021,12:42,5,4140935171268520
5,5.12.2021,8:30,1,4208145773743294
3,6.17.2021,17:8,4,4019857331872267
10,6.5.2021,6:19,5,4160016229226249
6,2.20.2021,5:44,3,4555495164847939
10,1.24.2021,20:38,3,4167433475488741
11,8.27.2021,10:55,3,4549488884356894
13,4.16.2021,0:2,3,4617757331731513
7,10.16.2021,6:39,1,4457129661597070
10,6.10.2021,23:32,1,4904329353911356
6,10.22.2021,1:37,3,4413217895205915
10,6.16.2021,13:34,3,4357548610410235
14,8.23.2021,0:38,3,4916271567984033
5,4.15.2021,8:28,1,4456245429345181
2,3.25.2021,0:39,3,4612129605050423
14,4.12.2021,20:59,1,4705630160589729
5,6.15.2021,9:59,2,4534864790528916
12,4.2.2021,0:8,4,4161324642495121
4,2.3.2021,17:38,2,4523654638584317
13,1.5.2021,9:34,4,4943040488963952
4,2.2.2021,15:27,2,4437480477365254
10,2.27.2021,22:22,3,4857420347595921
12,3.28.2021,12:34,4,4230749217493119
